tractate,dirname,base_daf,room_for_promotion,next_plain_dir_if_blocked,own_b_item_count,own_b_matched,own_b_coverage_pct,next_a_item_count,next_a_matched,next_a_coverage_pct,next_b_item_count,next_b_matched,next_b_coverage_pct,total_daf_coverage_pct,shiur_start_amud,amud_b_segment_index,next_daf_widened,skip_reason
Hullin,Hullin_5b,5,False,Hullin_6,10,9,90.0,19,1,5.3,7,1,14.3,47.6,a,0,True,
Hullin,hullin_29b,29,True,,16,12,75.0,16,16,100.0,16,3,18.8,87.5,b,4,True,
Hullin,hullin_44b,44,True,,12,3,25.0,15,15,100.0,22,1,4.5,62.5,,,True,
Hullin,hullin_70b,70,False,hullin_71,16,15,93.8,24,7,29.2,14,0,0.0,61.5,b,0,True,
Bava Batra,bava_batra_136b,136,False,bava_batra_137,12,2,16.7,15,2,13.3,11,0,0.0,15.0,a,0,True,
Bekhorot,bekhorot_36b,36,True,,22,17,77.3,20,17,85.0,21,1,4.8,81.2,a,2,True,
Bekhorot,bekhorot_40b,40,True,,18,13,72.2,23,16,69.6,10,0,0.0,70.9,a,1,True,
Bekhorot,bekhorot_45b,45,True,,19,11,57.9,11,9,81.8,14,0,0.0,69.8,a,0,True,
Bekhorot,bekhorot_47b,47,False,bekhorot_48,16,14,87.5,8,0,0.0,19,0,0.0,43.8,a,2,True,
Berakhot,berakhot_11b,11,False,berakhot_12,23,7,30.4,28,3,10.7,28,0,0.0,20.5,a,0,False,
Berakhot,berakhot_12b,12,False,berakhot_13,28,8,28.6,37,1,2.7,29,1,3.4,15.7,a,2,True,
Berakhot,berakhot_15b,15,False,berakhot_16,30,10,33.3,23,3,13.0,25,0,0.0,23.1,b,0,True,
Berakhot,berakhot_20b,20,False,berakhot_21,22,3,13.6,17,2,11.8,19,0,0.0,12.7,b,0,True,
Berakhot,berakhot_24b,24,True,,22,6,27.3,27,4,14.8,25,4,16.0,21.1,,,True,
Berakhot,berakhot_25b,25,True,,25,9,36.0,21,4,19.0,15,0,0.0,27.5,,,True,
Berakhot,berakhot_26b,26,True,,15,2,13.3,17,1,5.9,22,0,0.0,9.6,,,True,
Berakhot,berakhot_27b,27,True,,22,4,18.2,19,3,15.8,24,0,0.0,17.0,,,True,
Berakhot,berakhot_31b,31,True,,27,5,18.5,33,5,15.2,31,1,3.2,16.9,a,2,True,
Berakhot,berakhot_32b,32,False,berakhot_33,31,7,22.6,37,6,16.2,31,1,3.2,19.4,a,2,True,
Berakhot,berakhot_36b,36,True,,20,12,60.0,15,1,6.7,13,3,23.1,33.4,a,0,True,
Berakhot,berakhot_53b,53,False,berakhot_54,33,11,33.3,16,0,0.0,23,2,8.7,16.6,a,0,True,
Berakhot,berakhot_54b,54,True,,23,9,39.1,17,1,5.9,21,0,0.0,22.5,b,0,True,
Berakhot,berakhot_63b,63,True,,24,1,4.2,15,0,0.0,0,0,,2.1,,,False,
Chagigah,chagigah_24b,24,False,chagigah_25,14,7,50.0,12,1,8.3,18,0,0.0,29.1,a,4,True,
Chagigah,chagigah_25b,25,False,chagigah_26,18,8,44.4,18,1,5.6,11,0,0.0,25.0,a,1,True,
Chagigah,chagigah_26b,26,True,,11,3,27.3,9,3,33.3,0,0,,30.3,a,4,False,
Gittin,gittin_66b,66,False,gittin_67,15,2,13.3,14,5,35.7,22,0,0.0,24.5,a,0,True,
Gittin,gittin_88b,88,False,gittin_89,16,5,31.2,20,7,35.0,17,1,5.9,33.1,,,True,
Gittin,gittin_89b,89,False,gittin_90,17,5,29.4,17,7,41.2,8,0,0.0,35.3,a,6,True,
Keritot,keritot_3b,3,False,keritot_4,30,0,0.0,33,0,0.0,31,1,3.2,0.0,,,True,
Keritot,keritot_8b,8,False,keritot_9,21,6,28.6,31,0,0.0,24,0,0.0,14.3,a,5,True,
Keritot,keritot_25b,25,True,,19,1,5.3,31,6,19.4,22,0,0.0,12.3,,,True,
Keritot,keritot_26b,26,True,,22,3,13.6,26,8,30.8,24,0,0.0,22.2,a,0,True,
Keritot,keritot_27b,27,True,,24,8,33.3,32,11,34.4,9,0,0.0,33.8,a,0,True,
Ketubot,ketubot_40b,40,False,ketubot_41,13,3,23.1,11,3,27.3,12,0,0.0,25.2,a,1,True,
Ketubot,ketubot_41b,41,True,,12,0,0.0,9,1,11.1,16,1,6.2,5.5,,,True,
Ketubot,ketubot_44b,44,True,,12,6,50.0,7,4,57.1,14,2,14.3,53.5,,,True,
Ketubot,ketubot_48b,48,True,,16,7,43.8,11,3,27.3,13,0,0.0,35.5,a,0,True,
Ketubot,ketubot_51b,51,True,,20,6,30.0,16,5,31.2,18,0,0.0,30.6,a,1,True,
Ketubot,ketubot_56b,56,True,,12,0,0.0,13,2,15.4,16,0,0.0,7.7,,,True,
Ketubot,ketubot_64b,64,True,,18,7,38.9,16,6,37.5,17,3,17.6,38.2,b,2,True,
Kiddushin,kiddushin_45b,45,False,kiddushin_46,11,2,18.2,11,2,18.2,14,1,7.1,18.2,a,8,True,
Kiddushin,kiddushin_64b,64,False,kiddushin_65,16,3,18.8,23,7,30.4,13,0,0.0,24.6,a,1,True,
Kiddushin,kiddushin_65b,65,False,kiddushin_66,13,6,46.2,17,6,35.3,17,1,5.9,40.8,a,2,True,
Kiddushin,kiddushin_66b,66,False,kiddushin_67,17,1,5.9,11,2,18.2,17,0,0.0,12.1,,,True,
Kiddushin,kiddushin_67b,67,False,kiddushin_68,17,2,11.8,13,0,0.0,10,3,30.0,5.9,a,2,True,
Kinnim,kinnim_25b,25,True,,,,,,,,,,,,,,,missing 03_final.md or sefaria_next.md
