preferred_canonical	merged_from	before_daf_count	after_daf_count
Abaye	Abbaye	533	556
Abaye and Rabbah	Abaye and Rabba	2	4
Abba Chilkiyahu	Abba Chilkiya	1	2
Abba Shaul ben Ima Miriam	Abba Shaul ben Botnit	2	3
Absorption (beli'ah)	Absorption (belu'a); Absorption (havla'ah)	1	3
Aburah (barrel)	Abussa (trough)	1	2
Accidental Homicide and Exile	Accidental Killer and Cities of Refuge	1	2
Acharav (sequential distribution)	Acharav (after him)	1	2
Achariyut (responsibility)	Achariyus (liens)	1	2
Acharonim (later authorities)	Acheirim (other sages)	1	2
Achashverosh	Achashverosh using vessels of Temple; Achashverosh vs. Ben Netzer; Achashverosh's miscalculation	3	6
Acherim Omrim (others say)	Acheirim fixed calendar opinion	1	2
Achila V'Haktarah (eating and burning)	Achilah v'Haktarah (eating and burning)	1	2
Achila v'Shtiya (eating and drinking)	Achalta V'Savata (eating and drinking)	1	2
Achilas Keva (fixed meal in Sukkah)	Achilat Keva (fixed meal)	1	2
Achim Ba'im Chavah Lah (other things come with obligation)	Achim V'Shutafim (brothers and partners)	1	2
Achitofel	Achitophel	5	7
Achitofel's Deathbed Command	Achitophel and Batsheva Genealogy	1	2
Achot (sister)	Achot Ha-Av (father's sister); Achot Ha-Em (mother's sister); Achot Isha (wife's sister)	1	20
Achot Zekuka (sister-in-law with zika)	Achot Zekuka (sister of one to whom there is zika)	1	2
Achrayus (liability/warranty)	Achrayus Ta'us Sofer (liens from scribe error); Achraiyut (responsibility); Achrayut (liability/warranty)	13	27
Achsadra (portico)	Achsadra (portico) in exemption	5	6
Achsanya (guest)	Achsanai (guests); Achsanaim (guests); Achsannai (guest obligation)	1	4
Achuza (portion of land)	Achuzat Nachalah (possession of inheritance)	1	2
Adam Chashuv (honorable person)	Adam Chashuv (important/wealthy person)	8	9
Adam HaRishon (first man)	Adam HaRishon and fire; Adam HaRishon and the gift of wisdom; Adam HaRishon and the winter solstice; Adam HaRishon naming creatures; Adam HaRishon's Korban (first offering)	8	13
Adamah Asur Natata Li (the land that you gave me)	Adama She'Nasata Li (land you gave me)	0	1
Adar Rishon (first Adar)	Adar Rishon vs. Adar Sheni	1	2
Adat Korach (Korah's congregation)	Adat Korach (congregation of Korach)	2	6
Admission (Hodaah)	Admission (Modeh)	2	3
Admon and Chanan ben Avishalom	Admon's argument	1	2
Adrachta (power of attorney)	Adrachta (seizure authorization)	1	2
Adultery	Adultery (noef/noafet); Adultery (zenut)	1	3
Afar (ashes)	Afar (ashes/dust); Afar (dirt)	1	4
Afikoman (final piece of matzah)	Afikoman (conclusion of Passover meal)	6	7
Afsana (halter)	Afsar (halter)	1	2
Agada (homiletic teaching)	Aggadah (non-legal teaching)	5	7
Agalah (wagon)	Agala (baby carriage)	1	2
Agav (because of)	Agav (accompanying transfer through land acquisition)	1	2
Age of puberty	Age of physical maturity	1	2
Aggadic Exegesis	Aggadah interpretation methods	1	2
Agud (binding of lulav)	Aggud (binding)	1	2
Agudah (bundle)	Agudah (bundle of documents)	2	3
Agunah (chained woman)	Agunot (chained women)	33	34
Ahava (love of God)	Ahavat Hashem (love of God)	1	2
Ahava rabba (great love)	Ahava rabba and ahavat olam	2	4
Ahavat re'acha kamocha (love your neighbor as yourself)	Ahavta le're'acha kamocha (love your neighbor as yourself)	1	3
Ailonit (infertile woman)	Ailonit (barren woman)	6	10
Akarah (infertile woman)	Akar (sterility or infertility); Akara Hilchatit (halakhically barren); Akarot (barrenness or damage)	2	5
Akedat Yitzchak (Binding of Isaac)	Akedat Yitzchak in Rosh Hashanah (Binding of Isaac in Rosh Hashanah)	8	9
Akira and Hanacha (lifting and putting down)	Akirah v'hanachah (lifting and placing down); Akira Tzorech Hanachah (lifting is necessary for putting down)	4	6
Akum (non-Jew)	Akum (idolatry)	2	3
Al Da'as (on presumption or consent of)	Al Da'at (with understanding of); Al da'at ishto u'vanav (with the understanding regarding his wife and children); Al da'at rabbim (with the understanding of the public)	1	4
Al ha'aretz (on the land)	Al ha'aretz (upon the earth)	1	2
Al Menat (on condition that)	Al Menat Ken (with that condition); Al menat she-eifra mimi she-ertzeh (conditional stipulation for collection); Al menat sheykablum li (on condition that they accept for me)	0	3
Al pi atzmo (by own admission)	Al Pi Atzmo (by own admission)	1	2
Alaw (ligament or muscle of neck)	Alal (meat left on hide)	1	2
Alef-bet (Hebrew alphabet)	Aleph-bet drasha (midrash on letter meanings)	1	2
Aleha (upon her; links to yibum)	Aleha (upon her)	1	2
Aliyah (upper chamber)	Aliya (upper chamber); Aliya (upper room for rabbinic meetings); Aliya (upper story); Aliyah (upper story); Aliyot (upper levels)	1	6
Aliyah in the synagogue (Torah honor)	Aliyah (Torah honor in reading)	1	2
Aliyah l'regel (pilgrimage to the Temple)	Aliyah L'Regel (pilgrimage)	4	5
Aliyot (Torah honors)	Aliya (best property; full damages from owner's assets)	1	2
All-or-nothing principle (stam vow must be wholly annulled)	All-or-nothing principle	1	4
Almanah (widow)	Alma (widow in yibum context); Almana (widow); Almana (widow; widow's support rights); Almono (widow)	13	26
Almanah and Gerushah (widow and divorcee)	Almana/Gerushah (widow/divorcée); Almanah and Betulah (widow and virgin marriage laws)	1	3
Almanah to Kohen Gadol (widow to high priest)	Almana to Kohen Gadol (widow to High Priest)	2	4
Am Ha'aretz (unlearned person)	Am Ha'aretz (common person)	28	31
Amad ba-din (court judgment)	Amad B'Din (court judgment)	1	2
Amah (cubit)	Amah Beinonis (standard cubit); Amah Chamisha Tefach (small cubit); Amah Shel Kodesh (standard cubit)	9	12
Amah Ivriyah (Jewish slave woman)	Amah Ivriyah (Hebrew maidservant)	1	11
Amatai (when; clarification vs. disagreement)	Amatla (explanation or nullification)	1	2
Amei Ha'aretz vs. Chaveirim (common people vs. careful observers)	Amei Ha'aretz (common people)	1	5
Ameimar vs. Rav Ashi on release authority and courts	Ameimar vs. Resh Lakish and Rabbi Yochanan on acquisition	1	2
Amen response	Amen in oath acceptance; Amen Amen (double affirmation)	3	5
Amira L'Akum (instructing a non-Jew)	Amira L'Goy (instructing a non-Jew)	2	11
Ammonites and Moabites	Ammonite and Moabite; Ammon and Moab; Ammon and Moab in tithes and shemita	1	6
Amoni and Moavi conversion and community inclusion	Amoni (Ammonite)	1	2
Amoraim (rabbinic debaters)	Amora (announcer in study hall); Amoraim (announcers); Amoraim (speakers in yeshiva)	1	4
Amud (page side)	Amud Bet (page side b)	1	2
Amulets (Kamea)	Amulets; Amulets (Kamea) and Divine Names	3	5
Anal intercourse and Bi'ah status	Anal intercourse	1	2
Aneinu (fast-day prayer)	Aneinu (answer us prayer)	1	3
Angarya (forced seizure)	Angarya Hozeret (recurring forced labor); Angarya She'eino Hozeret (non-recurring forced labor)	1	3
Anigron (medicinal oil mixture)	Anigron (wine-steeped vegetables)	1	2
Aninus (mourning status)	Aninut (acute mourning state)	7	8
Apotropos (guardian; trustee)	Apotropus (court-appointed guardian)	15	17
Arava (willow branch)	Aravot (willows)	7	8
Arayos (forbidden sexual relations)	Arayos (sexual relations prohibited by Torah); Arayot (forbidden relations)	1	31
Arba Minim (four species)	Arba Minim (four kinds); Arba Minim (four species on Sukkot)	1	7
Arbaim Yakenu (forty lashes)	Arbaim Chasar Achat (forty minus one)	1	2
Arei Miklat (cities of refuge)	Arei Leviyim (Levite cities)	8	10
Areiv (guarantor)	Arev (guarantor); Arevut (guarantor)	8	16
Arel Basar (uncircumcised flesh)	Arla (foreskin) as identity marker	1	2
Arifah (breaking the neck of the heifer)	Arifah (wringing the neck); Arifat Egla Arufa (breaking the heifer's neck)	0	4
Arkuba (knee)	Arkov (knee joint)	2	3
Aron (ark)	Aron HaKodesh (holy ark)	17	18
Aron HaBrit (ark of covenant)	Aron and Holy Vessels (ark and vessels); Aron and Its Fate (ark and its fate); Aron and Kapores (ark and mercy seat); Aron HaBrit and Dedication (ark and dedication)	1	5
Aroyos (forbidden sexual relationships)	Arayot (sexual misconduct)	1	2
Arusa (betrothed woman)	Arusa (betrothed wife)	16	17
Arusin (betrothal)	Arusin (betrothed)	1	2
Aseres HaDibros (Ten Commandments)	Aseret Hadibrot (Ten Commandments)	4	5
Asham Metzora (guilt offering for leper)	Asham Metzora (guilt offering of leper)	2	8
Asherah (tree dedicated to idolatry)	Asherah wood (tree dedicated to idolatry)	15	17
Ashes (efer)	Ashes (efer vs. afar)	0	1
