term	daf_count	tractate_count	tractates	sample_dafs
Rabbi Yochanan	318	36	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Chagigah, Eruvin, Gittin, Horayot, Hullin, Keritot, Ketubot, Kiddushin, Makkot, Megillah, Meilah, Menachot, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shekalim, Shevuot, Sotah, Sukkah, Taanit, Temurah, Yevamot, Yoma, Zevachim	Hullin 25; Hullin 5; Hullin 5b; Hullin 9; Arakhin 10
Rabbi Meir	175	36	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Bekhorot, Berakhot, Chagigah, Eiruvin, Eruvin, Gittin, Horayot, Hullin, Keritot, Ketubot, Kiddushin, Makkot, Megillah, Meilah, Menachot, Moed Katan, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shekalim, Shevuot, Sotah, Sukkah, Temurah, Yevamot, Yoma, Zevachim	Hullin 6; Arakhin 14; Arakhin 27; Arakhin 32; Avodah Zarah 12
Rava	477	35	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Chagigah, Eruvin, Gittin, Horayot, Hullin, Keritot, Ketubot, Kiddushin, Makkot, Megillah, Meilah, Menachot, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Taanit, Temurah, Yevamot, Yoma, Zevachim	Hullin 16; Hullin 18; Hullin 3; Hullin 8; Hullin 9
Abaye	335	35	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Chagigah, Eruvin, Gittin, Horayot, Hullin, Keritot, Ketubot, Kiddushin, Makkot, Megillah, Meilah, Menachot, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Taanit, Temurah, Yevamot, Yoma, Zevachim	Hullin 18; Hullin 3; Hullin 9; Arakhin 14; Arakhin 32
Rashi	269	35	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Chagigah, Eruvin, Gittin, Horayot, Hullin, Keritot, Ketubot, Kiddushin, Makkot, Megillah, Meilah, Menachot, Middot, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Taanit, Temurah, Yevamot, Yoma, Zevachim	Hullin 18; Hullin 24; Hullin 3; Hullin 8; Arakhin 13
Rav Ashi	221	35	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Chagigah, Eruvin, Gittin, Horayot, Hullin, Keritot, Ketubot, Kiddushin, Makkot, Megillah, Menachot, Moed Katan, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Taanit, Temurah, Yevamot, Yoma, Zevachim	Hullin 18; Hullin 3; Arakhin 13; Arakhin 32; Arakhin 34
Rabbi Eliezer	163	34	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Chagigah, Eruvin, Gittin, Horayot, Hullin, Keritot, Ketubot, Kiddushin, Makkot, Megillah, Menachot, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shekalim, Shevuot, Sotah, Sukkah, Temurah, Yevamot, Yoma, Zevachim	Arakhin 14; Avodah Zarah 20; Avodah Zarah 25; Avodah Zarah 73; Bava Batra 129
Rabbi Yehuda	161	34	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Chagigah, Eiruvin, Eruvin, Gittin, Horayot, Hullin, Keritot, Ketubot, Kiddushin, Makkot, Meilah, Menachot, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Temurah, Yevamot, Yoma, Zevachim	Arakhin 13; Arakhin 14; Arakhin 27; Arakhin 32; Avodah Zarah 16
Tosafot	305	33	Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Chagigah, Eruvin, Gittin, Hullin, Keritot, Ketubot, Kiddushin, Makkot, Megillah, Meilah, Menachot, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Taanit, Temurah, Yevamot, Yoma, Zevachim	Hullin 18; Hullin 3; Hullin 8; Avodah Zarah 12; Avodah Zarah 16
Rav Chisda	162	33	Arakhin, Avodah Zarah, Bava Batra, Bava Kamma, Bava Metzia, Beitzah, Bekhorot, Berakhot, Eruvin, Gittin, Hullin, Ketubot, Kiddushin, Makkot, Megillah, Meilah, Menachot, Moed Katan, Nazir, Nedarim, Niddah, Pesachim, Rosh Hashanah, Sanhedrin, Shabbat, Shevuot, Sotah, Sukkah, Taanit, Temurah, Yevamot, Yoma, Zevachim	Arakhin 27; Arakhin 32; Avodah Zarah 10; Avodah Zarah 15; Avodah Zarah 19
